Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,100,[  10.         1605.10387028],[  0.         124.00156629],[  10.         1350.84276674],[  10.         1861.64462388],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
1,82,[  10.         1523.90472558],[ 0.         68.52818179],[  10.         1350.84276674],[  10.         1616.36249824],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
2,82,[  10.         1480.45987651],[ 0.         57.85923527],[  10.         1350.84276674],[  10.         1555.06921458],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
3,76,[  10.         1444.48454051],[ 0.         45.83415677],[  10.         1350.84276674],[  10.         1512.39230459],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
4,84,[  10.         1423.73841302],[ 0.         37.09250181],[  10.         1350.84276674],[  10.         1488.22933175],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
5,90,[  10.        1409.5911628],[ 0.         29.53910964],[  10.         1350.84276674],[  10.         1463.93763644],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
6,90,[  10.         1397.02574305],[ 0.         23.95439759],[  10.         1350.84276674],[  10.         1432.80340164],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
7,84,[  10.         1388.00179974],[ 0.         23.00085914],[  10.         1350.84276674],[  10.         1418.30888258],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
8,72,[  10.         1373.86122742],[ 0.         19.40360298],[  10.         1350.84276674],[  10.         1404.08377945],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
9,80,[  10.         1362.51440428],[0.         9.22083262],[  10.         1350.84276674],[  10.         1386.10662359],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 5, 3, 7, 4, 75, 1, 6, 8, 2, 9, 10, 11, 23, 21, 91, 98, 22, 20, 26, 87, 86, 89, 88, 90, 84, 85, 83, 82, 63, 65, 74, 67, 62, 68, 64, 61, 69, 66, 72, 41, 42, 43, 46, 47, 49, 50, 51, 52, 92, 93, 94, 97, 95, 96, 100, 99, 12, 14, 31, 32, 35, 33, 37, 34, 36, 38, 39, 29, 24, 27, 30, 25, 15, 16, 19, 13, 17, 18, 28, 81, 78, 76, 77, 79, 73, 71, 70, 80]","(10.0, 1350.8427667416438)"
