Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[ 70.87097264 707.30883611],[ 2.31299063 46.26841228],[ 68.         575.61094993],[ 80.         837.83265264],"[3, 18, 21, 22, 12, 16, 15, 25, 10, 8, 20, 7, 6, 17, 24, 1, 23, 14, 19, 11, 9, 4, 13, 2, 5]","(80.0, 686.0483134500473)"
1,350,[ 72.19416268 671.34958271],[ 2.75026018 41.90591587],[ 68.         575.39763948],[ 80.         796.05482467],"[3, 18, 21, 22, 12, 16, 15, 25, 10, 8, 20, 7, 6, 17, 24, 1, 23, 14, 19, 11, 9, 4, 13, 2, 5]","(80.0, 686.0483134500473)"
2,334,[ 72.57275525 647.14220319],[ 3.00730518 36.7560497 ],[ 68.         575.39763948],[ 80.         765.00982158],"[3, 18, 21, 22, 12, 16, 15, 25, 10, 8, 20, 7, 6, 17, 24, 1, 23, 14, 19, 11, 9, 4, 13, 2, 5]","(80.0, 686.0483134500473)"
3,336,[ 72.94730136 629.19316801],[ 3.28897712 36.27229954],[ 68.        569.4826906],[ 80.         792.78549801],"[22, 10, 20, 12, 1, 3, 14, 4, 2, 24, 15, 13, 6, 9, 25, 23, 7, 21, 8, 5, 11, 19, 16, 18, 17]","(80.0, 655.077620702302)"
4,330,[ 73.40514842 621.09825236],[ 3.62068423 45.19767159],[ 68.         563.92190976],[ 80.         792.78549801],"[22, 10, 20, 12, 1, 3, 14, 4, 2, 24, 15, 13, 6, 23, 25, 9, 7, 21, 8, 5, 11, 19, 16, 18, 17]","(80.0, 648.6127456164745)"
5,328,[ 74.72342196 627.51558736],[ 3.6843913  59.70624718],[ 68.         529.58648471],[ 80.         792.78549801],"[6, 8, 12, 3, 10, 16, 14, 7, 2, 15, 22, 4, 5, 13, 1, 17, 9, 24, 20, 19, 18, 11, 23, 21, 25]","(80.0, 636.6397549714953)"
6,330,[ 74.51146616 605.66960698],[ 3.90067879 40.61384656],[ 68.         529.58648471],[ 80.         714.15292759],"[6, 8, 12, 3, 10, 16, 14, 7, 2, 15, 22, 4, 5, 13, 1, 17, 9, 24, 20, 19, 18, 11, 23, 21, 25]","(80.0, 636.6397549714953)"
7,344,[ 75.5533474  600.67158563],[ 3.36017408 37.85767207],[ 68.         529.58648471],[ 80.         687.11992092],"[3, 18, 21, 22, 12, 16, 4, 25, 10, 8, 20, 7, 6, 17, 24, 1, 23, 14, 19, 11, 9, 15, 13, 2, 5]","(80.0, 614.6467791635905)"
8,344,[ 76.21457011 591.38953685],[ 2.6228678  33.38984469],[ 68.         529.58648471],[ 80.        663.3899409],"[22, 10, 20, 12, 1, 16, 14, 17, 2, 24, 15, 13, 6, 9, 25, 23, 19, 18, 8, 5, 21, 7, 3, 11, 4]","(80.0, 593.5214363833696)"
9,346,[ 76.36009357 586.07637183],[ 2.85020989 35.98162285],[ 68.         529.58648471],[ 80.         651.35455202],"[22, 10, 20, 12, 1, 16, 14, 17, 2, 24, 15, 13, 6, 9, 25, 23, 19, 18, 8, 5, 21, 7, 3, 11, 4]","(80.0, 593.5214363833696)"
10,336,[ 76.65912903 574.46967397],[ 2.92142717 39.05705751],[ 68.         513.90002579],[ 80.       647.256969],"[22, 10, 20, 12, 1, 16, 14, 17, 2, 24, 15, 13, 6, 9, 25, 23, 19, 18, 8, 5, 21, 7, 3, 11, 4]","(80.0, 593.5214363833696)"
11,324,[ 76.68747676 555.90485875],[ 2.41616819 27.59260383],[ 68.         513.90002579],[ 80.         632.68261359],"[6, 8, 12, 3, 10, 16, 14, 7, 2, 15, 17, 4, 5, 13, 1, 22, 9, 24, 20, 19, 18, 11, 23, 21, 25]","(80.0, 590.9606457438362)"
12,332,[ 77.29327289 555.55125297],[ 2.07444658 33.3318734 ],[ 68.         513.90002579],[ 80.         628.30826013],"[2, 1, 11, 8, 24, 13, 18, 21, 7, 5, 3, 12, 16, 4, 22, 15, 10, 23, 20, 25, 6, 19, 14, 17, 9]","(80.0, 531.1002479033555)"
13,344,[ 76.81044532 546.03464092],[ 2.34956616 29.9450838 ],[ 68.         513.90002579],[ 80.83083537 643.39213001],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 4, 5, 13, 1, 17, 9, 24, 20, 19, 8, 11, 23, 21, 25]","(80.83083537245163, 643.3921300059426)"
14,332,[ 77.4186812  557.85279187],[ 3.02535417 34.68379551],[ 68.         506.79828836],[ 80.83083537 644.85200492],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 4, 5, 13, 1, 17, 9, 24, 20, 19, 8, 11, 23, 21, 25]","(80.83083537245163, 643.3921300059426)"
15,326,[ 76.9915071  550.63874354],[ 3.52728005 32.80623137],[ 68.         506.79828836],[ 80.83083537 644.85200492],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 4, 5, 13, 1, 17, 9, 24, 20, 19, 8, 11, 23, 21, 25]","(80.83083537245163, 643.3921300059426)"
16,334,[ 76.13810865 534.3922423 ],[ 3.78820902 28.06282168],[ 68.         506.79828836],[ 80.83083537 644.85200492],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 4, 5, 13, 1, 17, 9, 24, 20, 19, 8, 11, 23, 21, 25]","(80.83083537245163, 643.3921300059426)"
17,346,[ 75.95669944 527.52506705],[ 3.76953935 28.12037203],[ 68.         506.79828836],[ 80.83083537 644.85200492],"[12, 18, 22, 3, 10, 16, 14, 7, 2, 15, 6, 4, 5, 13, 17, 1, 9, 24, 20, 19, 8, 11, 23, 21, 25]","(80.83083537245163, 610.1902644421799)"
18,326,[ 76.85477518 531.7891696 ],[ 3.63451327 35.61316357],[ 72.         506.79631537],[ 80.83083537 653.26803574],"[12, 18, 22, 3, 10, 16, 14, 7, 2, 15, 6, 4, 5, 13, 17, 1, 9, 24, 20, 19, 8, 11, 23, 21, 25]","(80.83083537245163, 610.1902644421799)"
19,340,[ 76.05332067 537.96118803],[ 3.99284353 47.80739997],[ 72.         505.48599592],[ 80.83146306 653.26803574],"[12, 18, 22, 3, 10, 16, 19, 7, 2, 15, 6, 4, 5, 13, 1, 17, 9, 24, 20, 14, 8, 11, 23, 21, 25]","(80.8314630577923, 649.3816018012839)"
20,342,[ 77.94717666 553.40447179],[ 3.45127253 57.17269461],[ 72.         505.48599592],[ 80.83146306 649.3816018 ],"[12, 18, 22, 3, 10, 16, 19, 7, 2, 15, 6, 4, 5, 13, 1, 17, 9, 24, 20, 14, 8, 11, 23, 21, 25]","(80.8314630577923, 649.3816018012839)"
21,340,[ 77.79733955 565.12717597],[ 3.44634592 62.64335306],[ 72.         505.48599592],[ 84.         656.47603213],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 656.4760321332938)"
22,338,[ 76.67857315 536.59264484],[ 3.49833607 48.25206498],[ 72.         503.65042148],[ 84.         703.70197763],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 656.4760321332938)"
23,298,[ 78.6599308  553.64555571],[ 2.99468393 55.24730529],[ 72.         502.83997587],[ 84.         703.70197763],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 656.4760321332938)"
24,344,[ 79.17150895 561.07546865],[ 2.83897795 55.72003419],[ 72.        500.8509949],[ 84.         690.74707704],"[6, 18, 22, 3, 20, 16, 14, 7, 2, 15, 12, 10, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 654.7847162001325)"
