generation,fitness
1,"(381760.6,)"
2,"(366990.32,)"

最好的粒子：[99, 57, 86, 95, 56, 2, 70, 66, 91, 80, 54, 68, 98, 73, 12, 81, 53, 22, 65, 90, 85, 29, 30, 43, 39, 88, 67, 31, 94, 92, 51, 33, 19, 64, 75, 25, 48, 20, 76, 23, 50, 89, 72, 46, 82, 83, 87, 49, 52, 32, 34, 71, 17, 47, 61, 44, 40, 37, 4, 45, 55, 9, 10, 97, 6, 1, 79, 42, 60, 100, 14, 59, 21, 62, 84, 93, 35, 15, 13, 16, 58, 63, 38, 41, 36, 7, 78, 74, 77, 24, 69, 8, 96, 5, 18, 27, 11, 28, 26, 3]

所有解：
(366990.32,)
(368451.31,)
(368451.31,)
(370245.06,)
(371322.68,)
(372992.18,)
(372992.18,)
(373842.13,)
(373851.95,)
(377046.79,)
(378182.45,)
(378281.55,)
(379255.85,)
(379295.51,)
(379654.61,)
(380011.27,)
(380259.08,)
(381145.51,)
(381574.25,)
(381574.25,)
(381760.6,)
(383000.97,)
(383160.24,)
(383520.23,)
(383941.53,)
(383968.13,)
(384792.32,)
(386009.45,)
(386249.57,)
(386453.46,)
(387024.6,)
(387024.6,)
(387070.02,)
(387799.32,)
(388621.17,)
(389032.43,)
(389500.08,)
(390440.56,)
(390495.15,)
(391458.79,)
(392446.84,)
(392446.84,)
(392536.56,)
(392570.89,)
(393614.98,)
(393638.26,)
(393679.66,)
(393927.47,)
(394081.74,)
(394476.2,)
(394914.85,)
(395075.27,)
(395245.5,)
(395299.27,)
(395440.26,)
(395758.39,)
(396386.2,)
(397030.78,)
(397030.78,)
(397250.35,)
(397250.35,)
(397287.7,)
(397560.97,)
(397937.61,)
(397937.64,)
(398872.11,)
(399048.44,)
(399612.1,)
(399670.81,)
(399962.06,)
(400416.82,)
(400884.82,)
(400884.82,)
(400941.52,)
(401943.29,)
(401943.29,)
(402193.6,)
(402790.19,)
(402813.67,)
(403484.91,)
(403484.91,)
(403929.9,)
(404089.46,)
(404208.67,)
(404310.35,)
(404458.46,)
(404492.54,)
(404682.35,)
(404686.52,)
(405004.69,)
(405280.07,)
(405464.21,)
(405684.76,)
(405690.95,)
(405748.97,)
(406890.99,)
(407293.62,)
(407574.42,)
(407819.91,)
(407834.4,)
(407834.4,)
(407866.29,)
(407872.87,)
(408434.76,)
(408822.91,)
(408822.91,)
(408869.71,)
(408928.51,)
(408930.33,)
(409176.27,)
(409178.61,)
(409750.96,)
(409829.81,)
(409829.81,)
(409930.23,)
(409967.3,)
(409998.54,)
(410001.91,)
(411297.96,)
(411726.04,)
