generation,fitness
1,"(12116.2,)"
2,"(10960.11,)"
3,"(10960.11,)"
4,"(10785.24,)"
5,"(9818.15,)"
6,"(9818.02,)"
7,"(9638.67,)"
8,"(9259.5,)"
9,"(9159.23,)"
10,"(9004.36,)"
11,"(8990.03,)"
12,"(8820.86,)"
13,"(8582.51,)"
14,"(8582.51,)"
15,"(8582.51,)"
16,"(8582.51,)"
17,"(8582.51,)"
18,"(8416.19,)"
19,"(8416.19,)"
20,"(8416.19,)"
21,"(8416.19,)"
22,"(8416.19,)"
23,"(8416.19,)"
24,"(8416.19,)"
25,"(8416.19,)"
26,"(8416.19,)"
27,"(8416.19,)"
28,"(8416.19,)"
29,"(8416.19,)"
30,"(8371.11,)"
31,"(8371.11,)"
32,"(8371.11,)"
33,"(8371.11,)"
34,"(8371.11,)"
35,"(8371.11,)"
36,"(8371.11,)"
37,"(8256.88,)"
38,"(8256.88,)"
39,"(8256.88,)"
40,"(8256.88,)"
41,"(8256.88,)"
42,"(8256.88,)"
43,"(8256.88,)"
44,"(8256.88,)"
45,"(8256.88,)"
46,"(8256.88,)"
47,"(8256.88,)"
48,"(8256.88,)"
49,"(8256.88,)"
50,"(8256.88,)"
51,"(8256.88,)"
52,"(8256.88,)"
53,"(8256.88,)"
54,"(8256.88,)"
55,"(8256.88,)"
56,"(8256.88,)"
57,"(8256.88,)"
58,"(8256.88,)"
59,"(8150.45,)"
60,"(8150.45,)"
61,"(8150.45,)"
62,"(8150.45,)"
63,"(8150.45,)"
64,"(8150.45,)"
65,"(8150.45,)"
66,"(8150.45,)"
67,"(8150.45,)"
68,"(8150.45,)"
69,"(8150.45,)"
70,"(8150.45,)"
71,"(8150.45,)"
72,"(8150.45,)"
73,"(8150.45,)"
74,"(8150.45,)"
75,"(8150.45,)"
76,"(8106.28,)"
77,"(8106.28,)"
78,"(8106.28,)"
79,"(8106.28,)"
80,"(8106.28,)"
81,"(8106.28,)"
82,"(8106.28,)"
83,"(8106.28,)"
84,"(8106.28,)"
85,"(8106.28,)"
86,"(8106.28,)"
87,"(8106.28,)"
88,"(8106.28,)"
89,"(8106.28,)"
90,"(8106.28,)"
91,"(8106.28,)"
92,"(8106.28,)"
93,"(8106.28,)"
94,"(8106.28,)"
95,"(8106.28,)"
96,"(8106.28,)"
97,"(8106.28,)"
98,"(8106.28,)"
99,"(8106.28,)"
100,"(8106.28,)"
101,"(8106.28,)"
102,"(8106.28,)"
103,"(8106.28,)"
104,"(8106.28,)"
105,"(8106.28,)"
106,"(8106.28,)"
107,"(7981.7,)"
108,"(7981.7,)"
109,"(7981.7,)"
110,"(7981.7,)"
111,"(7981.7,)"
112,"(7981.7,)"
113,"(7981.7,)"
114,"(7901.44,)"
115,"(7901.44,)"
116,"(7901.44,)"
117,"(7901.44,)"
118,"(7901.44,)"
119,"(7901.44,)"
120,"(7901.44,)"
121,"(7901.44,)"
122,"(7901.44,)"
123,"(7901.44,)"
124,"(7901.44,)"
125,"(7901.44,)"
126,"(7901.44,)"
127,"(7901.44,)"
128,"(7901.44,)"
129,"(7901.44,)"
130,"(7901.44,)"
131,"(7901.44,)"
132,"(7901.44,)"
133,"(7901.44,)"
134,"(7901.44,)"
135,"(7901.44,)"
136,"(7901.44,)"
137,"(7901.44,)"
138,"(7901.44,)"
139,"(7901.44,)"
140,"(7901.44,)"
141,"(7901.44,)"
142,"(7901.44,)"
143,"(7901.44,)"
144,"(7901.44,)"
145,"(7901.44,)"
146,"(7901.44,)"
147,"(7901.44,)"
148,"(7901.44,)"
149,"(7901.44,)"
150,"(7901.44,)"
151,"(7901.44,)"
152,"(7901.44,)"
153,"(7901.44,)"
154,"(7901.44,)"
155,"(7901.44,)"
156,"(7901.44,)"
157,"(7901.44,)"
158,"(7901.44,)"
159,"(7901.44,)"
160,"(7901.44,)"
161,"(7901.44,)"
162,"(7901.44,)"
163,"(7901.44,)"
164,"(7901.44,)"
165,"(7901.44,)"
166,"(7901.44,)"
167,"(7901.44,)"
168,"(7901.44,)"
169,"(7901.44,)"
170,"(7901.44,)"
171,"(7901.44,)"
172,"(7901.44,)"
173,"(7901.44,)"
174,"(7901.44,)"
175,"(7901.44,)"
176,"(7901.44,)"
177,"(7901.44,)"
178,"(7901.44,)"
179,"(7901.44,)"
180,"(7901.44,)"
181,"(7901.44,)"
182,"(7901.44,)"
183,"(7901.44,)"
184,"(7901.44,)"
185,"(7901.44,)"
186,"(7901.44,)"
187,"(7901.44,)"
188,"(7901.44,)"
189,"(7901.44,)"
190,"(7901.44,)"
191,"(7901.44,)"
192,"(7901.44,)"
193,"(7901.44,)"
194,"(7901.44,)"
195,"(7901.44,)"
196,"(7901.44,)"
197,"(7901.44,)"
198,"(7901.44,)"
199,"(7901.44,)"
200,"(7901.44,)"
201,"(7901.44,)"
202,"(7901.44,)"
203,"(7901.44,)"
204,"(7901.44,)"
205,"(7901.44,)"
206,"(7901.44,)"
