generation,fitness
1,11248.09
2,10977.98
3,10704.8
4,10588.21
5,10588.21
6,9632.96
7,9632.96
8,9424.55
9,9424.55
10,9183.92
11,8676.17
12,8676.17
13,8676.17
14,8676.17
15,8676.17
16,8676.17
17,8676.17
18,8676.17
19,8646.0
20,8556.63
21,8556.63
22,8359.13
23,8359.13
24,8359.13
25,8359.13
26,8359.13
27,8334.1
28,8322.02
29,8265.88
30,8265.88
31,8265.88
32,8222.06
33,8185.2
34,8185.2
35,8146.34
36,8146.34
37,8146.34
38,7999.62
39,7999.62
40,7999.62
41,7999.62
42,7981.57
43,7945.72
44,7945.72
45,7945.72
46,7945.72
47,7927.67
48,7903.29
49,7903.29
50,7899.62
51,7866.18
52,7866.18
53,7836.95
54,7836.95
55,7815.68
56,7815.68
57,7815.68
58,7815.68
59,7815.68
60,7801.81
61,7801.81
62,7757.13
63,7757.13
64,7757.13
65,7753.4
66,7721.84
67,7721.84
68,7718.11
69,7718.11
70,7718.11
71,7718.11
72,7688.88
73,7688.88
74,7688.88
75,7688.88
76,7688.88
77,7688.88
78,7688.88
79,7688.88
80,7688.88
81,7678.7
82,7678.7
83,7678.7
84,7678.7
85,7678.7
86,7678.7
87,7678.7
88,7675.23
89,7675.23
90,7675.23
91,7675.23
92,7675.23
93,7675.23
94,7675.23
95,7675.23
96,7675.23
97,7675.23
98,7675.23
99,7675.23
100,7675.23
101,7675.23
102,7675.23
103,7675.23
104,7675.23
105,7675.23
106,7675.23
107,7675.23
108,7675.23
109,7675.23
110,7675.23
111,7675.23
112,7675.23
113,7675.23
114,7675.23
115,7675.23
116,7675.23
117,7675.23
118,7675.23
119,7675.23
120,7675.23
121,7675.23
122,7675.23
123,7675.23
124,7675.23
125,7675.23
126,7675.23
127,7675.23
128,7675.23
129,7675.23
130,7675.23
131,7675.23
132,7675.23
133,7675.23
134,7675.23
135,7675.23
136,7675.23
137,7675.23
138,7675.23
139,7675.23
140,7675.23
141,7675.23
142,7675.23
143,7675.23
144,7675.23
145,7675.23
146,7674.55
147,7674.55
148,7641.59
149,7641.59
150,7641.59
151,7641.59
152,7641.59
153,7641.59
154,7641.59
155,7641.59
156,7641.59
157,7641.59
158,7641.59
159,7641.59
160,7641.59
161,7641.59
162,7641.59
163,7641.59
164,7641.59
165,7641.59
166,7641.59
167,7641.59
168,7641.59
169,7641.59
170,7624.37
171,7624.37
172,7624.37
173,7624.37
174,7624.37
175,7624.37
176,7624.37
177,7624.37
178,7624.37
179,7624.37
180,7624.37
181,7624.37
182,7624.37
183,7624.37
184,7624.37
185,7624.37
186,7624.37
187,7624.37
188,7624.37
189,7624.37
190,7624.37
191,7624.37
192,7624.37
193,7624.37
194,7624.37
195,7624.37
196,7624.37
197,7624.37
198,7415.01
199,7415.01
200,7415.01
201,7415.01
202,7415.01
203,7415.01
204,7415.01
205,7415.01
206,7415.01
207,7415.01
208,7415.01
209,7415.01
210,7415.01
211,7415.01
212,7415.01
213,7415.01
214,7415.01
215,7415.01
216,7415.01
217,7415.01
218,7415.01
219,7415.01
220,7415.01
221,7415.01
222,7415.01
223,7415.01
224,7415.01
225,7415.01
226,7415.01
227,7415.01
228,7415.01
229,7415.01
230,7415.01
231,7415.01
232,7415.01
233,7415.01
234,7415.01
235,7415.01
236,7415.01
237,7415.01
238,7415.01
239,7415.01
240,7415.01
241,7415.01
242,7415.01
243,7415.01
244,7415.01
245,7415.01
246,7415.01
247,7415.01
248,7415.01
249,7415.01
250,7415.01
251,7415.01
252,7415.01
253,7415.01
254,7415.01
255,7412.1
256,7412.1
257,7412.1
258,7412.1
259,7412.1
260,7412.1
261,7412.1
262,7412.1
263,7412.1
264,7412.1
265,7412.1
266,7412.1
267,7412.1
268,7412.1
269,7412.1
270,7412.1
271,7412.1
272,7412.1
273,7412.1
274,7412.1
275,7412.1
276,7412.1
277,7412.1
278,7412.1
279,7412.1
280,7412.1
281,7412.1
282,7412.1
283,7411.32
284,7411.32
285,7411.32
286,7411.32
287,7411.32
288,7411.32
289,7411.32
290,7411.32
291,7411.32
292,7411.32
293,7411.32
294,7411.32
295,7411.32
296,7411.32
297,7411.32
298,7411.32
299,7411.32
300,7411.32
301,7411.32
302,7411.32
303,7411.32
304,7411.32
305,7411.32
306,7411.32
307,7411.32
308,7411.32
309,7411.32
310,7411.32
311,7411.32
312,7411.32
313,7411.32
314,7411.32
315,7411.32
316,7411.32
317,7411.32
318,7411.32
319,7411.32
320,7411.32
321,7411.32
322,7411.32
323,7411.32
324,7411.32
325,7411.32
326,7411.32
327,7411.32
328,7411.32
329,7411.32
330,7411.32
331,7411.32
332,7411.32
333,7411.32
334,7411.32
335,7411.32
336,7411.32
337,7411.32
338,7411.32
339,7411.32
340,7411.32
341,7411.32
342,7411.32
343,7411.32
344,7411.32
345,7411.32
346,7411.32
347,7411.32
348,7411.32
349,7411.32
350,7411.32
351,7411.32
352,7411.32
353,7411.32
354,7411.32
355,7411.32
356,7411.32
357,7411.32
358,7411.32
359,7411.32
360,7411.32
361,7411.32
362,7411.32
363,7411.32
364,7411.32
365,7411.32
366,7411.32
367,7411.32
368,7411.32
369,7411.32
370,7411.32
371,7411.32
372,7411.32
373,7411.32
374,7411.32
375,7411.32
376,7411.32
377,7411.32
378,7411.32
379,7411.32
380,7411.32
381,7411.32
382,7411.32
383,7411.32
384,7411.32
385,7411.32
386,7411.32
387,7411.32
388,7411.32
389,7411.32
390,7411.32
391,7411.32
392,7411.32
393,7411.32
394,7411.32
395,7411.32
396,7411.32
397,7411.32
398,7411.32
399,7411.32
400,7411.32
