generation,fitness
1,18479.64
2,18479.64
3,18479.64
4,18479.64
5,18479.64
6,18097.04
7,17923.96
8,17692.02
9,17290.56
10,16769.76
11,16608.93
12,16505.48
13,15536.13
14,15536.13
15,15471.97
16,15471.97
17,15141.96
18,14905.09
19,14905.09
20,14739.13
21,14365.86
22,14269.63
23,14078.96
24,13940.78
25,13503.97
26,13503.97
27,13328.46
28,13314.45
29,13314.45
30,13042.54
31,13042.54
32,13037.86
33,13037.86
34,13037.86
35,13037.86
36,12884.43
37,12884.43
38,12884.43
39,12884.43
40,12884.43
41,12610.08
42,12540.41
43,12540.26
44,12540.26
45,12536.04
46,12484.56
47,12479.06
48,12453.7
49,12453.7
50,12414.75
51,12414.75
52,12414.75
53,12414.75
54,12311.21
55,12311.21
56,12311.21
57,12311.21
58,12311.21
59,12311.21
60,12311.21
61,12311.21
62,12232.54
63,12232.54
64,12219.88
65,12219.88
66,12219.88
67,12219.88
68,12219.88
69,12219.88
70,12219.88
71,12219.88
72,12219.88
73,12219.88
74,12219.88
75,12190.51
76,12190.51
77,12190.51
78,12190.51
79,12190.51
80,12190.51
81,12190.51
82,12190.51
83,12190.51
84,12190.51
85,12190.51
86,12190.51
87,12190.51
88,12190.51
89,12169.25
90,12169.25
91,12138.93
92,12138.93
93,12138.93
94,12138.93
95,12138.93
96,12138.93
97,12138.93
98,12138.93
99,12138.93
100,12138.93
101,12138.93
102,12138.93
103,12138.93
104,12138.93
105,12138.93
106,12138.93
107,12138.93
108,12138.93
109,12138.93
110,12138.93
111,12138.93
112,12138.93
113,12138.93
114,12138.93
115,12138.93
116,12138.93
117,12138.93
118,12138.93
119,12138.93
120,12138.93
121,12138.93
122,12138.93
123,12138.93
124,12138.93
125,12138.93
126,12138.93
127,12138.93
128,12138.93
129,12138.93
130,12138.93
131,12138.93
132,12039.33
133,12039.33
134,12039.33
135,11990.38
136,11990.38
137,11990.38
138,11990.38
139,11990.38
140,11990.38
141,11990.38
142,11990.38
143,11990.38
144,11990.38
145,11990.38
146,11990.38
147,11990.38
148,11990.38
149,11990.38
150,11990.38
151,11990.38
152,11990.38
153,11990.38
154,11990.38
155,11990.38
156,11990.38
157,11990.38
158,11990.38
159,11990.38
160,11990.38
161,11990.38
162,11990.38
163,11990.38
164,11990.38
165,11990.38
166,11990.38
167,11990.38
168,11990.38
169,11990.38
170,11990.38
171,11990.38
172,11990.38
173,11985.46
174,11985.46
175,11985.46
176,11985.46
177,11985.46
178,11985.46
179,11985.46
180,11985.46
181,11985.46
182,11985.46
183,11985.46
184,11985.46
185,11985.46
186,11985.46
187,11985.46
188,11985.46
189,11985.46
190,11985.46
191,11985.46
192,11985.46
193,11985.46
194,11985.46
195,11985.46
196,11985.46
197,11985.46
198,11985.46
199,11985.46
200,11985.46
201,11985.46
202,11985.46
203,11985.46
204,11985.46
205,11985.46
206,11985.46
207,11985.46
208,11985.46
209,11985.46
210,11985.46
211,11985.46
212,11985.46
213,11985.46
214,11985.46
215,11985.46
216,11985.46
217,11985.46
218,11985.46
219,11952.67
220,11952.67
221,11952.67
222,11875.63
223,11875.63
224,11875.63
225,11875.63
226,11875.63
227,11875.63
228,11875.63
229,11875.63
230,11875.63
231,11875.63
232,11875.63
233,11875.63
234,11875.63
235,11875.63
236,11875.63
237,11875.63
238,11875.63
239,11875.63
240,11875.63
241,11875.63
242,11875.63
243,11875.63
244,11875.63
245,11875.63
246,11875.63
247,11875.63
248,11875.63
249,11875.63
250,11875.63
251,11875.63
252,11875.63
253,11875.63
254,11875.63
255,11875.63
256,11875.63
257,11875.63
258,11875.63
259,11875.63
260,11875.63
261,11875.63
262,11875.63
263,11875.63
264,11875.63
265,11875.63
266,11875.63
267,11875.63
268,11875.63
269,11875.63
270,11875.63
271,11875.63
272,11875.63
273,11875.63
274,11875.63
275,11875.63
276,11875.63
277,11875.63
278,11875.63
279,11875.63
280,11875.63
281,11875.63
282,11875.63
283,11875.63
284,11875.63
285,11875.63
286,11875.63
287,11875.63
288,11875.63
289,11875.63
290,11875.63
291,11875.63
292,11875.63
293,11875.63
294,11875.63
295,11875.63
296,11875.63
297,11875.63
298,11875.63
299,11875.63
300,11875.63
301,11875.63
302,11875.63
303,11875.63
304,11875.63
305,11875.63
306,11875.63
307,11875.63
308,11875.63
309,11875.63
310,11875.63
311,11875.63
312,11875.63
313,11875.63
314,11875.63
315,11875.63
316,11875.63
317,11875.63
318,11875.63
319,11875.63
320,11875.63
321,11875.63
322,11875.63
323,11875.63
324,11875.63
325,11875.63
326,11875.63
327,11875.63
328,11875.63
329,11875.63
330,11875.63
331,11875.63
332,11875.63
333,11875.63
334,11875.63
335,11875.63
336,11875.63
337,11875.63
338,11875.63
339,11875.63
340,11875.63
341,11875.63
342,11875.63
343,11875.63
344,11875.63
345,11875.63
346,11875.63
347,11875.63
348,11875.63
349,11875.63
350,11875.63
351,11875.63
352,11875.63
353,11875.63
354,11875.63
355,11875.63
356,11875.63
357,11875.63
358,11875.63
359,11875.63
360,11875.63
361,11875.63
362,11875.63
363,11875.63
364,11875.63
365,11875.63
366,11875.63
367,11875.63
368,11875.63
369,11875.63
370,11875.63
371,11875.63
372,11875.63
373,11875.63
374,11875.63
375,11875.63
376,11875.63
377,11875.63
378,11875.63
379,11875.63
380,11875.63
381,11875.63
382,11875.63
383,11875.63
384,11875.63
385,11875.63
386,11875.63
387,11875.63
388,11875.63
389,11875.63
390,11875.63
391,11875.63
392,11875.63
393,11875.63
394,11875.63
395,11875.63
396,11875.63
397,11875.63
398,11875.63
399,11875.63
400,11875.63
