迭代：1，类型：随机，适应值：(15604.4791,)，车辆：25，距离：4939.24，满意度：73.87
迭代：2，类型：随机，适应值：(15385.0162,)，车辆：23，距离：4542.508，满意度：70.8
迭代：3，类型：随机，适应值：(15385.0162,)，车辆：23，距离：4542.508，满意度：70.8
迭代：4，类型：随机，适应值：(14886.3088,)，车辆：24，距离：4630.154，满意度：74.27
迭代：5，类型：随机，适应值：(13270.068,)，车辆：21，距离：4172.034，满意度：77.47
迭代：6，类型：随机，适应值：(13270.068,)，车辆：21，距离：4172.034，满意度：77.47
迭代：7，类型：随机，适应值：(13270.068,)，车辆：21，距离：4172.034，满意度：77.47
迭代：8，类型：随机，适应值：(13270.068,)，车辆：21，距离：4172.034，满意度：77.47
迭代：9，类型：随机，适应值：(13270.068,)，车辆：21，距离：4172.034，满意度：77.47
迭代：10，类型：随机，适应值：(13270.068,)，车辆：21，距离：4172.034，满意度：77.47
迭代：11，类型：随机，适应值：(13061.0773,)，车辆：21，距离：4160.539，满意度：78.4
迭代：12，类型：随机，适应值：(13061.0773,)，车辆：21，距离：4160.539，满意度：78.4
迭代：13，类型：随机，适应值：(13061.0773,)，车辆：21，距离：4160.539，满意度：78.4
迭代：14，类型：随机，适应值：(12933.2378,)，车辆：22，距离：4219.619，满意度：79.73
迭代：15，类型：随机，适应值：(12775.5594,)，车辆：21，距离：4050.78，满意度：78.73
迭代：16，类型：随机，适应值：(12775.5594,)，车辆：21，距离：4050.78，满意度：78.73
迭代：17，类型：随机，适应值：(12594.329,)，车辆：22，距离：4077.164，满意度：80.0
迭代：18，类型：随机，适应值：(12594.329,)，车辆：22，距离：4077.164，满意度：80.0
迭代：19，类型：随机，适应值：(12528.6789,)，车辆：22，距离：4057.339，满意度：80.13
迭代：20，类型：随机，适应值：(12256.2574,)，车辆：21，距离：4045.129，满意度：81.27
迭代：21，类型：随机，适应值：(12124.1341,)，车辆：20，距离：3915.067，满意度：80.53
迭代：22，类型：随机，适应值：(12124.1341,)，车辆：20，距离：3915.067，满意度：80.53
迭代：23，类型：随机，适应值：(12124.1341,)，车辆：20，距离：3915.067，满意度：80.53
迭代：24，类型：随机，适应值：(12072.5596,)，车辆：21，距离：4126.28，满意度：83.0
迭代：25，类型：随机，适应值：(12072.5596,)，车辆：21，距离：4126.28，满意度：83.0
迭代：26，类型：随机，适应值：(12072.5596,)，车辆：21，距离：4126.28，满意度：83.0
迭代：27，类型：随机，适应值：(11739.9424,)，车辆：21，距离：4066.971，满意度：84.07
迭代：28，类型：随机，适应值：(11739.9424,)，车辆：21，距离：4066.971，满意度：84.07
迭代：29，类型：随机，适应值：(11525.4985,)，车辆：21，距离：4045.749，满意度：84.93
迭代：30，类型：随机，适应值：(11525.4985,)，车辆：21，距离：4045.749，满意度：84.93
迭代：31，类型：随机，适应值：(11525.4985,)，车辆：21，距离：4045.749，满意度：84.93
迭代：32，类型：随机，适应值：(11445.9945,)，车辆：20，距离：4075.997，满意度：85.53
迭代：33，类型：随机，适应值：(11445.9945,)，车辆：20，距离：4075.997，满意度：85.53
迭代：34，类型：随机，适应值：(11445.9945,)，车辆：20，距离：4075.997，满意度：85.53
迭代：35，类型：随机，适应值：(11387.1005,)，车辆：21，距离：4063.55，满意度：85.8
迭代：36，类型：随机，适应值：(11261.0748,)，车辆：21，距离：4080.537，满意度：86.6
迭代：37，类型：随机，适应值：(11261.0748,)，车辆：21，距离：4080.537，满意度：86.6
