种群大小：50，变异率：0.02，类型：定向，迭代数：400，时间：12
迭代：1，时间：12，类型：定向，适应值：(20257.88,)，车辆：9，距离：186.7，满意度：88.67
迭代：2，时间：12，类型：定向，适应值：(18508.06,)，车辆：7，距离：173.6，满意度：92.0
迭代：3，时间：12，类型：定向，适应值：(18508.06,)，车辆：7，距离：173.6，满意度：92.0
迭代：4，时间：12，类型：定向，适应值：(18508.06,)，车辆：7，距离：173.6，满意度：92.0
迭代：5，时间：12，类型：定向，适应值：(17940.34,)，车辆：7，距离：166.2，满意度：90.33
迭代：6，时间：12，类型：定向，适应值：(17731.95,)，车辆：7，距离：164.3，满意度：90.5
迭代：7，时间：12，类型：定向，适应值：(17731.95,)，车辆：7，距离：164.3，满意度：90.5
迭代：8，时间：12，类型：定向，适应值：(17363.65,)，车辆：7，距离：158.6，满意度：88.5
迭代：9，时间：12，类型：定向，适应值：(16848.56,)，车辆：7，距离：157.5，满意度：92.5
迭代：10，时间：12，类型：定向，适应值：(16848.56,)，车辆：7，距离：157.5，满意度：92.5
迭代：11，时间：12，类型：定向，适应值：(16848.56,)，车辆：7，距离：157.5，满意度：92.5
迭代：12，时间：12，类型：定向，适应值：(16848.56,)，车辆：7，距离：157.5，满意度：92.5
迭代：13，时间：12，类型：定向，适应值：(16848.56,)，车辆：7，距离：157.5，满意度：92.5
迭代：14，时间：12，类型：定向，适应值：(16807.77,)，车辆：7，距离：157.1，满意度：92.5
迭代：15，时间：12，类型：定向，适应值：(16640.5,)，车辆：6，距离：156.9，满意度：93.5
迭代：16，时间：12，类型：定向，适应值：(16640.5,)，车辆：6，距离：156.9，满意度：93.5
迭代：17，时间：12，类型：定向，适应值：(16640.5,)，车辆：6，距离：156.9，满意度：93.5
迭代：18，时间：12，类型：定向，适应值：(16579.26,)，车辆：7，距离：154.8，满意度：92.5
迭代：19，时间：12，类型：定向，适应值：(16579.26,)，车辆：7，距离：154.8，满意度：92.5
迭代：20，时间：12，类型：定向，适应值：(16579.26,)，车辆：7，距离：154.8，满意度：92.5
迭代：21，时间：12，类型：定向，适应值：(16501.56,)，车辆：7，距离：154.0，满意度：92.5
迭代：22，时间：12，类型：定向，适应值：(16501.56,)，车辆：7，距离：154.0，满意度：92.5
迭代：23，时间：12，类型：定向，适应值：(16396.83,)，车辆：7，距离：153.0，满意度：92.5
迭代：24，时间：12，类型：定向，适应值：(16256.59,)，车辆：7，距离：153.1，满意度：94.0
迭代：25，时间：12，类型：定向，适应值：(16256.59,)，车辆：7，距离：153.1，满意度：94.0
迭代：26，时间：12，类型：定向，适应值：(16096.48,)，车辆：7，距离：150.0，满意度：92.5
迭代：27，时间：12，类型：定向，适应值：(15991.75,)，车辆：7，距离：148.9，满意度：92.5
迭代：28，时间：12，类型：定向，适应值：(15991.75,)，车辆：7，距离：148.9，满意度：92.5
迭代：29，时间：12，类型：定向，适应值：(15991.75,)，车辆：7，距离：148.9，满意度：92.5
迭代：30，时间：12，类型：定向，适应值：(15991.75,)，车辆：7，距离：148.9，满意度：92.5
迭代：31，时间：12，类型：定向，适应值：(15991.75,)，车辆：7，距离：148.9，满意度：92.5
迭代：32，时间：12，类型：定向，适应值：(15991.75,)，车辆：7，距离：148.9，满意度：92.5
迭代：33，时间：12，类型：定向，适应值：(15953.52,)，车辆：7，距离：148.5，满意度：92.5
迭代：34，时间：12，类型：定向，适应值：(15953.52,)，车辆：7，距离：148.5，满意度：92.5
迭代：35，时间：12，类型：定向，适应值：(15953.52,)，车辆：7，距离：148.5，满意度：92.5
迭代：36，时间：12，类型：定向，适应值：(15848.11,)，车辆：7，距离：147.5，满意度：92.5
迭代：37，时间：12，类型：定向，适应值：(15848.11,)，车辆：7，距离：147.5，满意度：92.5
迭代：38，时间：12，类型：定向，适应值：(15846.94,)，车辆：7，距离：147.5，满意度：92.5
迭代：39，时间：12，类型：定向，适应值：(15645.85,)，车辆：7，距离：145.5，满意度：92.5
迭代：40，时间：12，类型：定向，适应值：(15643.13,)，车辆：7，距离：145.4，满意度：92.5
迭代：41，时间：12，类型：定向，适应值：(15643.13,)，车辆：7，距离：145.4，满意度：92.5
迭代：42，时间：12，类型：定向，适应值：(15643.13,)，车辆：7，距离：145.4，满意度：92.5
迭代：43，时间：12，类型：定向，适应值：(15643.13,)，车辆：7，距离：145.4，满意度：92.5
迭代：44，时间：12，类型：定向，适应值：(15536.04,)，车辆：7，距离：144.4，满意度：92.5
迭代：45，时间：12，类型：定向，适应值：(15536.04,)，车辆：7，距离：144.4，满意度：92.5
迭代：46，时间：12，类型：定向，适应值：(15533.32,)，车辆：7，距离：144.3，满意度：92.5
迭代：47，时间：12，类型：定向，适应值：(15520.92,)，车辆：7，距离：144.2，满意度：92.5
迭代：48，时间：12，类型：定向，适应值：(15520.92,)，车辆：7，距离：144.2，满意度：92.5
迭代：49，时间：12，类型：定向，适应值：(15520.92,)，车辆：7，距离：144.2，满意度：92.5
迭代：50，时间：12，类型：定向，适应值：(15520.92,)，车辆：7，距离：144.2，满意度：92.5
迭代：51，时间：12，类型：定向，适应值：(15459.48,)，车辆：7，距离：145.1，满意度：94.0
迭代：52，时间：12，类型：定向，适应值：(15459.48,)，车辆：7，距离：145.1，满意度：94.0
迭代：53，时间：12，类型：定向，适应值：(15459.48,)，车辆：7，距离：145.1，满意度：94.0
迭代：54，时间：12，类型：定向，适应值：(15459.48,)，车辆：7，距离：145.1，满意度：94.0
迭代：55，时间：12，类型：定向，适应值：(15333.7,)，车辆：7，距离：142.3，满意度：92.5
迭代：56，时间：12，类型：定向，适应值：(15333.7,)，车辆：7，距离：142.3，满意度：92.5
迭代：57，时间：12，类型：定向，适应值：(15333.7,)，车辆：7，距离：142.3，满意度：92.5
迭代：58，时间：12，类型：定向，适应值：(15216.5,)，车辆：7，距离：141.2，满意度：92.5
迭代：59，时间：12，类型：定向，适应值：(15191.68,)，车辆：7，距离：140.9，满意度：92.5
迭代：60，时间：12，类型：定向，适应值：(15191.68,)，车辆：7，距离：140.9，满意度：92.5
迭代：61，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：62，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：63，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：64，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：65，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：66，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：67，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：68，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：69，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：70，时间：12，类型：定向，适应值：(15174.0,)，车辆：7，距离：140.7，满意度：92.5
迭代：71，时间：12，类型：定向，适应值：(15168.99,)，车辆：7，距离：140.7，满意度：92.5
迭代：72，时间：12，类型：定向，适应值：(15168.99,)，车辆：7，距离：140.7，满意度：92.5
迭代：73，时间：12，类型：定向，适应值：(15168.99,)，车辆：7，距离：140.7，满意度：92.5
迭代：74，时间：12，类型：定向，适应值：(15168.99,)，车辆：7，距离：140.7，满意度：92.5
迭代：75，时间：12，类型：定向，适应值：(15023.06,)，车辆：7，距离：139.2，满意度：92.5
迭代：76，时间：12，类型：定向，适应值：(15023.06,)，车辆：7，距离：139.2，满意度：92.5
迭代：77，时间：12，类型：定向，适应值：(15023.06,)，车辆：7，距离：139.2，满意度：92.5
迭代：78，时间：12，类型：定向，适应值：(15023.06,)，车辆：7，距离：139.2，满意度：92.5
迭代：79，时间：12，类型：定向，适应值：(15019.46,)，车辆：7，距离：139.2，满意度：92.5
迭代：80，时间：12，类型：定向，适应值：(15019.46,)，车辆：7，距离：139.2，满意度：92.5
迭代：81，时间：12，类型：定向，适应值：(15019.46,)，车辆：7，距离：139.2，满意度：92.5
迭代：82，时间：12，类型：定向，适应值：(15019.46,)，车辆：7，距离：139.2，满意度：92.5
迭代：83，时间：12，类型：定向，适应值：(14883.07,)，车辆：8，距离：137.3，满意度：92.5
迭代：84，时间：12，类型：定向，适应值：(14883.07,)，车辆：8，距离：137.3，满意度：92.5
迭代：85，时间：12，类型：定向，适应值：(14883.07,)，车辆：8，距离：137.3，满意度：92.5
迭代：86，时间：12，类型：定向，适应值：(14883.07,)，车辆：8，距离：137.3，满意度：92.5
迭代：87，时间：12，类型：定向，适应值：(14883.07,)，车辆：8，距离：137.3，满意度：92.5
迭代：88，时间：12，类型：定向，适应值：(14588.82,)，车辆：7，距离：139.9，满意度：97.5
迭代：89，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：90，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：91，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：92，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：93，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：94，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：95，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：96，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：97，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：98，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：99，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：100，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：101，时间：12，类型：定向，适应值：(14576.23,)，车辆：7，距离：139.8，满意度：97.5
迭代：102，时间：12，类型：定向，适应值：(14448.83,)，车辆：8，距离：138.0，满意度：97.5
迭代：103，时间：12，类型：定向，适应值：(14448.83,)，车辆：8，距离：138.0，满意度：97.5
迭代：104，时间：12，类型：定向，适应值：(14448.83,)，车辆：8，距离：138.0，满意度：97.5
迭代：105，时间：12，类型：定向，适应值：(14448.83,)，车辆：8，距离：138.0，满意度：97.5
迭代：106，时间：12，类型：定向，适应值：(14448.83,)，车辆：8，距离：138.0，满意度：97.5
迭代：107，时间：12，类型：定向，适应值：(14448.83,)，车辆：8，距离：138.0，满意度：97.5
迭代：108，时间：12，类型：定向，适应值：(14448.83,)，车辆：8，距离：138.0，满意度：97.5
迭代：109，时间：12，类型：定向，适应值：(14401.21,)，车辆：8，距离：137.5，满意度：97.5
迭代：110，时间：12，类型：定向，适应值：(14401.21,)，车辆：8，距离：137.5，满意度：97.5
迭代：111，时间：12，类型：定向，适应值：(14401.21,)，车辆：8，距离：137.5，满意度：97.5
迭代：112，时间：12，类型：定向，适应值：(14401.21,)，车辆：8，距离：137.5，满意度：97.5
迭代：113，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：114，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：115，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：116，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：117，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：118，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：119，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：120，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：121，时间：12，类型：定向，适应值：(14331.63,)，车辆：8，距离：136.8，满意度：97.5
迭代：122，时间：12，类型：定向，适应值：(14261.58,)，车辆：8，距离：136.1，满意度：97.5
迭代：123，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：124，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：125，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：126，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：127，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：128，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：129，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：130，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：131，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：132，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：133，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：134，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：135，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：136，时间：12，类型：定向，适应值：(13756.01,)，车辆：7，距离：131.6，满意度：97.5
迭代：137，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：138，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：139，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：140，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：141，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：142，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：143，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：144，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：145，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：146，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：147，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：148，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：149，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：150，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：151，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：152，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：153，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：154，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：155，时间：12，类型：定向，适应值：(13620.16,)，车辆：7，距离：130.2，满意度：97.5
迭代：156，时间：12，类型：定向，适应值：(13557.34,)，车辆：7，距离：129.6，满意度：97.5
迭代：157，时间：12，类型：定向，适应值：(13557.34,)，车辆：7，距离：129.6，满意度：97.5
迭代：158，时间：12，类型：定向，适应值：(13557.34,)，车辆：7，距离：129.6，满意度：97.5
迭代：159，时间：12，类型：定向，适应值：(13557.34,)，车辆：7，距离：129.6，满意度：97.5
迭代：160，时间：12，类型：定向，适应值：(13557.34,)，车辆：7，距离：129.6，满意度：97.5
迭代：161，时间：12，类型：定向，适应值：(13557.34,)，车辆：7，距离：129.6，满意度：97.5
迭代：162，时间：12，类型：定向，适应值：(13510.0,)，车辆：7，距离：130.1，满意度：98.5
迭代：163，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：164，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：165，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：166，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：167，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：168，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：169，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：170，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：171，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：172，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：173，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：174，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：175，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：176，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：177，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：178，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：179，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：180，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：181，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：182，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：183，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：184，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：185，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：186，时间：12，类型：定向，适应值：(13492.13,)，车辆：7，距离：129.9，满意度：98.5
迭代：187，时间：12，类型：定向，适应值：(13477.01,)，车辆：7，距离：129.8，满意度：98.5
迭代：188，时间：12，类型：定向，适应值：(13327.81,)，车辆：7，距离：128.3，满意度：98.5
迭代：189，时间：12，类型：定向，适应值：(13327.81,)，车辆：7，距离：128.3，满意度：98.5
迭代：190，时间：12，类型：定向，适应值：(13327.81,)，车辆：7，距离：128.3，满意度：98.5
迭代：191，时间：12，类型：定向，适应值：(13327.81,)，车辆：7，距离：128.3，满意度：98.5
迭代：192，时间：12，类型：定向，适应值：(13327.81,)，车辆：7，距离：128.3，满意度：98.5
迭代：193，时间：12，类型：定向，适应值：(13327.81,)，车辆：7，距离：128.3，满意度：98.5
迭代：194，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：195，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：196，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：197，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：198，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：199，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：200，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：201，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：202，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：203，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：204，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：205，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：206，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：207，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：208，时间：12，类型：定向，适应值：(13313.11,)，车辆：7，距离：128.1，满意度：98.5
迭代：209，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：210，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：211，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：212，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：213，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：214，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：215，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：216，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：217，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：218，时间：12，类型：定向，适应值：(13308.6,)，车辆：7，距离：128.1，满意度：98.5
迭代：219，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：220，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：221，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：222，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：223，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：224，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
