迭代：1，类型：定向，适应值：(10682.2334,)，车辆：13，距离：2004.117，满意度：67.93
迭代：2，类型：定向，适应值：(10340.118,)，车辆：12，距离：1850.059，满意度：68.0
迭代：3，类型：定向，适应值：(10154.1375,)，车辆：13，距离：2180.069，满意度：72.33
迭代：4，类型：定向，适应值：(10154.1375,)，车辆：13，距离：2180.069，满意度：72.33
迭代：5，类型：定向，适应值：(10154.1375,)，车辆：13，距离：2180.069，满意度：72.33
迭代：6，类型：定向，适应值：(10154.1375,)，车辆：13，距离：2180.069，满意度：72.33
迭代：7，类型：定向，适应值：(10154.1375,)，车辆：13，距离：2180.069，满意度：72.33
迭代：8，类型：定向，适应值：(10107.6443,)，车辆：13，距离：1996.822，满意度：70.73
迭代：9，类型：定向，适应值：(10107.6443,)，车辆：13，距离：1996.822，满意度：70.73
迭代：10，类型：定向，适应值：(10051.5265,)，车辆：12，距离：1858.763，满意度：69.53
迭代：11，类型：定向，适应值：(10051.5265,)，车辆：12，距离：1858.763，满意度：69.53
迭代：12，类型：定向，适应值：(9942.4251,)，车辆：12，距离：1891.213，满意度：70.4
迭代：13，类型：定向，适应值：(9799.9329,)，车辆：12，距离：1912.966，满意度：71.33
迭代：14，类型：定向，适应值：(9634.1461,)，车辆：12，距离：1890.073，满意度：71.93
迭代：15，类型：定向，适应值：(9634.1461,)，车辆：12，距离：1890.073，满意度：71.93
迭代：16，类型：定向，适应值：(9634.1461,)，车辆：12，距离：1890.073，满意度：71.93
迭代：17，类型：定向，适应值：(9634.1461,)，车辆：12，距离：1890.073，满意度：71.93
迭代：18，类型：定向，适应值：(9634.1461,)，车辆：12，距离：1890.073，满意度：71.93
迭代：19，类型：定向，适应值：(9552.3662,)，车辆：13，距离：1993.183，满意度：73.47
迭代：20，类型：定向，适应值：(9552.3662,)，车辆：13，距离：1993.183，满意度：73.47
迭代：21，类型：定向，适应值：(9552.3662,)，车辆：13，距离：1993.183，满意度：73.47
迭代：22，类型：定向，适应值：(9532.1548,)，车辆：12，距离：1966.077，满意度：73.2
迭代：23，类型：定向，适应值：(9532.1548,)，车辆：12，距离：1966.077，满意度：73.2
迭代：24，类型：定向，适应值：(9451.2071,)，车辆：12，距离：1945.604，满意度：73.4
迭代：25，类型：定向，适应值：(9451.2071,)，车辆：12，距离：1945.604，满意度：73.4
迭代：26，类型：定向，适应值：(9451.2071,)，车辆：12，距离：1945.604，满意度：73.4
迭代：27，类型：定向，适应值：(9255.7409,)，车辆：12，距离：2087.87，满意度：75.8
迭代：28，类型：定向，适应值：(9255.7409,)，车辆：12，距离：2087.87，满意度：75.8
迭代：29，类型：定向，适应值：(9255.7409,)，车辆：12，距离：2087.87，满意度：75.8
迭代：30，类型：定向，适应值：(9068.0276,)，车辆：12，距离：2081.014，满意度：76.67
迭代：31，类型：定向，适应值：(9068.0276,)，车辆：12，距离：2081.014，满意度：76.67
迭代：32，类型：定向，适应值：(9068.0276,)，车辆：12，距离：2081.014，满意度：76.67
迭代：33，类型：定向，适应值：(9068.0276,)，车辆：12，距离：2081.014，满意度：76.67
迭代：34，类型：定向，适应值：(9068.0276,)，车辆：12，距离：2081.014，满意度：76.67
迭代：35，类型：定向，适应值：(9001.8087,)，车辆：12，距离：1967.904，满意度：75.87
迭代：36，类型：定向，适应值：(9001.8087,)，车辆：12，距离：1967.904，满意度：75.87
迭代：37，类型：定向，适应值：(8713.7874,)，车辆：12，距离：2009.894，满意度：77.73
迭代：38，类型：定向，适应值：(8713.7874,)，车辆：12，距离：2009.894，满意度：77.73
迭代：39，类型：定向，适应值：(8508.9787,)，车辆：12，距离：2021.489，满意度：78.87
迭代：40，类型：定向，适应值：(8508.9787,)，车辆：12，距离：2021.489，满意度：78.87
迭代：41，类型：定向，适应值：(8433.5723,)，车辆：12，距离：2049.786，满意度：79.53
迭代：42，类型：定向，适应值：(8323.2654,)，车辆：12，距离：2014.633，满意度：79.73
迭代：43，类型：定向，适应值：(8302.1828,)，车辆：12，距离：2058.091，满意度：80.27
迭代：44，类型：定向，适应值：(8116.4694,)，车辆：12，距离：2051.235，满意度：81.13
迭代：45，类型：定向，适应值：(8116.4694,)，车辆：12，距离：2051.235，满意度：81.13
迭代：46，类型：定向，适应值：(8102.5643,)，车辆：12，距离：2044.282，满意度：81.13
迭代：47，类型：定向，适应值：(7949.0032,)，车辆：12，距离：2054.502，满意度：82.0
