迭代：1，类型：随机，适应值：(16939.404,)，车辆：24，距离：4569.702，满意度：63.4
迭代：2，类型：随机，适应值：(16229.1775,)，车辆：22，距离：4341.589，满意度：64.47
迭代：3，类型：随机，适应值：(16229.1775,)，车辆：22，距离：4341.589，满意度：64.47
迭代：4，类型：随机，适应值：(16229.1775,)，车辆：22，距离：4341.589，满意度：64.47
迭代：5，类型：随机，适应值：(15490.913,)，车辆：22，距离：4292.456，满意度：67.67
迭代：6，类型：随机，适应值：(15490.913,)，车辆：22，距离：4292.456，满意度：67.67
迭代：7，类型：随机，适应值：(15490.913,)，车辆：22，距离：4292.456，满意度：67.67
迭代：8，类型：随机，适应值：(15487.0603,)，车辆：22，距离：4330.53，满意度：68.07
迭代：9，类型：随机，适应值：(15487.0603,)，车辆：22，距离：4330.53，满意度：68.07
迭代：10，类型：随机，适应值：(15448.6531,)，车辆：21，距离：4047.327，满意度：65.33
迭代：11，类型：随机，适应值：(15175.8521,)，车辆：21，距离：4084.926，满意度：67.07
迭代：12，类型：随机，适应值：(15174.5044,)，车辆：22，距离：4174.252，满意度：68.07
迭代：13，类型：随机，适应值：(15174.5044,)，车辆：22，距离：4174.252，满意度：68.07
迭代：14，类型：随机，适应值：(15174.5044,)，车辆：22，距离：4174.252，满意度：68.07
迭代：15，类型：随机，适应值：(15174.5044,)，车辆：22，距离：4174.252，满意度：68.07
迭代：16，类型：随机，适应值：(14654.2077,)，车辆：20，距离：3707.104，满意度：65.8
迭代：17，类型：随机，适应值：(14654.2077,)，车辆：20，距离：3707.104，满意度：65.8
迭代：18，类型：随机，适应值：(14541.3443,)，车辆：21，距离：4047.672，满意度：69.87
迭代：19，类型：随机，适应值：(14541.3443,)，车辆：21，距离：4047.672，满意度：69.87
迭代：20，类型：随机，适应值：(14505.6812,)，车辆：21，距离：4035.841，满意度：69.93
迭代：21，类型：随机，适应值：(14505.6812,)，车辆：21，距离：4035.841，满意度：69.93
迭代：22，类型：随机，适应值：(14505.6812,)，车辆：21，距离：4035.841，满意度：69.93
迭代：23，类型：随机，适应值：(14505.6812,)，车辆：21，距离：4035.841，满意度：69.93
迭代：24，类型：随机，适应值：(14305.8179,)，车辆：20，距离：3919.909，满意度：69.67
迭代：25，类型：随机，适应值：(14305.8179,)，车辆：20，距离：3919.909，满意度：69.67
迭代：26，类型：随机，适应值：(14305.8179,)，车辆：20，距离：3919.909，满意度：69.67
迭代：27，类型：随机，适应值：(14084.8938,)，车辆：21，距离：3799.447，满意度：69.67
迭代：28，类型：随机，适应值：(14084.8938,)，车辆：21，距离：3799.447，满意度：69.67
迭代：29，类型：随机，适应值：(14084.8938,)，车辆：21，距离：3799.447，满意度：69.67
迭代：30，类型：随机，适应值：(14026.1037,)，车辆：19，距离：3383.052，满意度：65.6
迭代：31，类型：随机，适应值：(14026.1037,)，车辆：19，距离：3383.052，满意度：65.6
迭代：32，类型：随机，适应值：(13969.2121,)，车辆：19，距离：3374.606，满意度：65.8
迭代：33，类型：随机，适应值：(13772.5839,)，车辆：19，距离：3503.292，满意度：68.07
迭代：34，类型：随机，适应值：(13765.1558,)，车辆：19，距离：3419.578，满意度：67.27
迭代：35，类型：随机，适应值：(13690.4386,)，车辆：20，距离：3492.219，满意度：68.47
迭代：36，类型：随机，适应值：(13507.2663,)，车辆：19，距离：3516.633，满意度：69.53
迭代：37，类型：随机，适应值：(13412.5047,)，车辆：19，距离：3483.252，满意度：69.67
迭代：38，类型：随机，适应值：(13406.4588,)，车辆：19，距离：3466.229，满意度：69.53
迭代：39，类型：随机，适应值：(13321.238,)，车辆：19，距离：3437.619，满意度：69.67
迭代：40，类型：随机，适应值：(13258.0838,)，车辆：19，距离：3392.042，满意度：69.53
迭代：41，类型：随机，适应值：(13118.6545,)，车辆：19，距离：3389.327，满意度：70.2
迭代：42，类型：随机，适应值：(12854.7526,)，车辆：18，距离：3260.376，满意度：70.13
迭代：43，类型：随机，适应值：(12819.8259,)，车辆：18，距离：3302.913，满意度：70.73
迭代：44，类型：随机，适应值：(12819.8259,)，车辆：18，距离：3302.913，满意度：70.73
迭代：45，类型：随机，适应值：(12662.4346,)，车辆：19，距离：3401.217，满意度：72.6
迭代：46，类型：随机，适应值：(12662.4346,)，车辆：19，距离：3401.217，满意度：72.6
迭代：47，类型：随机，适应值：(12601.2404,)，车辆：18，距离：3300.62，满意度：71.8
迭代：48，类型：随机，适应值：(12531.9007,)，车辆：18，距离：3292.95，满意度：72.07
迭代：49，类型：随机，适应值：(12530.4337,)，车辆：18，距离：3318.217，满意度：72.33
迭代：50，类型：随机，适应值：(12290.3722,)，车辆：18，距离：3285.186，满意度：73.2
迭代：51，类型：随机，适应值：(11766.9757,)，车辆：18，距离：3270.488，满意度：75.67
迭代：52，类型：随机，适应值：(11766.9757,)，车辆：18，距离：3270.488，满意度：75.67
迭代：53，类型：随机，适应值：(11766.9757,)，车辆：18，距离：3270.488，满意度：75.67
迭代：54，类型：随机，适应值：(11766.9757,)，车辆：18，距离：3270.488，满意度：75.67
迭代：55，类型：随机，适应值：(11766.9757,)，车辆：18，距离：3270.488，满意度：75.67
迭代：56，类型：随机，适应值：(11737.8221,)，车辆：18，距离：3295.911，满意度：76.07
迭代：57，类型：随机，适应值：(11737.8221,)，车辆：18，距离：3295.911，满意度：76.07
迭代：58，类型：随机，适应值：(11737.8221,)，车辆：18，距离：3295.911，满意度：76.07
迭代：59，类型：随机，适应值：(11737.8221,)，车辆：18，距离：3295.911，满意度：76.07
迭代：60，类型：随机，适应值：(11737.8221,)，车辆：18，距离：3295.911，满意度：76.07
迭代：61，类型：随机，适应值：(11719.8864,)，车辆：18，距离：3286.943，满意度：76.07
迭代：62，类型：随机，适应值：(11719.8864,)，车辆：18，距离：3286.943，满意度：76.07
迭代：63，类型：随机，适应值：(11718.9329,)，车辆：18，距离：3286.466，满意度：76.07
迭代：64，类型：随机，适应值：(11718.9329,)，车辆：18，距离：3286.466，满意度：76.07
迭代：65，类型：随机，适应值：(11419.6621,)，车辆：18，距离：3282.831，满意度：77.53
迭代：66，类型：随机，适应值：(11335.1629,)，车辆：18，距离：3254.581，满意度：77.67
迭代：67，类型：随机，适应值：(11086.8373,)，车辆：18，距离：3210.419，满意度：78.47
迭代：68，类型：随机，适应值：(11086.8373,)，车辆：18，距离：3210.419，满意度：78.47
迭代：69，类型：随机，适应值：(11086.8373,)，车辆：18，距离：3210.419，满意度：78.47
迭代：70，类型：随机，适应值：(11086.8373,)，车辆：18，距离：3210.419，满意度：78.47
迭代：71，类型：随机，适应值：(11086.8373,)，车辆：18，距离：3210.419，满意度：78.47
迭代：72，类型：随机，适应值：(11086.8373,)，车辆：18，距离：3210.419，满意度：78.47
迭代：73，类型：随机，适应值：(11020.5068,)，车辆：18，距离：3223.253，满意度：78.93
迭代：74，类型：随机，适应值：(11020.5068,)，车辆：18，距离：3223.253，满意度：78.93
迭代：75，类型：随机，适应值：(11020.5068,)，车辆：18，距离：3223.253，满意度：78.93
迭代：76，类型：随机，适应值：(11020.5068,)，车辆：18，距离：3223.253，满意度：78.93
迭代：77，类型：随机，适应值：(11020.5068,)，车辆：18，距离：3223.253，满意度：78.93
迭代：78，类型：随机，适应值：(11020.5068,)，车辆：18，距离：3223.253，满意度：78.93
迭代：79，类型：随机，适应值：(11005.3141,)，车辆：18，距离：3215.657，满意度：78.93
迭代：80，类型：随机，适应值：(10989.5842,)，车辆：18，距离：3207.792，满意度：78.93
迭代：81，类型：随机，适应值：(10926.7904,)，车辆：18，距离：3170.395，满意度：78.87
迭代：82，类型：随机，适应值：(10920.6637,)，车辆：18，距离：3180.332，满意度：79.0
迭代：83，类型：随机，适应值：(10920.6637,)，车辆：18，距离：3180.332，满意度：79.0
迭代：84，类型：随机，适应值：(10917.5762,)，车辆：18，距离：3165.788，满意度：78.87
迭代：85，类型：随机，适应值：(10917.5762,)，车辆：18，距离：3165.788，满意度：78.87
迭代：86，类型：随机，适应值：(10905.0866,)，车辆：18，距离：3159.543，满意度：78.87
迭代：87，类型：随机，适应值：(10882.4911,)，车辆：18，距离：3148.246，满意度：78.87
迭代：88，类型：随机，适应值：(10882.4911,)，车辆：18，距离：3148.246，满意度：78.87
迭代：89，类型：随机，适应值：(10875.6378,)，车辆：18，距离：3144.819，满意度：78.87
迭代：90，类型：随机，适应值：(10848.6265,)，车辆：18，距离：3131.313，满意度：78.87
迭代：91，类型：随机，适应值：(10716.5226,)，车辆：18，距离：3245.261，满意度：80.67
迭代：92，类型：随机，适应值：(10716.5226,)，车辆：18，距离：3245.261，满意度：80.67
迭代：93，类型：随机，适应值：(10658.3021,)，车辆：18，距离：3229.151，满意度：80.8
迭代：94，类型：随机，适应值：(10658.3021,)，车辆：18，距离：3229.151，满意度：80.8
迭代：95，类型：随机，适应值：(10658.3021,)，车辆：18，距离：3229.151，满意度：80.8
迭代：96，类型：随机，适应值：(10627.1696,)，车辆：18，距离：3213.585，满意度：80.8
迭代：97，类型：随机，适应值：(10589.3481,)，车辆：18，距离：3194.674，满意度：80.8
迭代：98，类型：随机，适应值：(10589.3481,)，车辆：18，距离：3194.674，满意度：80.8
迭代：99，类型：随机，适应值：(10567.5461,)，车辆：18，距离：3170.773，满意度：80.67
迭代：100，类型：随机，适应值：(10567.5461,)，车辆：18，距离：3170.773，满意度：80.67
迭代：101，类型：随机，适应值：(10549.478,)，车辆：18，距离：3174.739，满意度：80.8
迭代：102，类型：随机，适应值：(10549.478,)，车辆：18，距离：3174.739，满意度：80.8
迭代：103，类型：随机，适应值：(10537.9283,)，车辆：18，距离：3188.964，满意度：81.0
迭代：104，类型：随机，适应值：(10537.9283,)，车辆：18，距离：3188.964，满意度：81.0
迭代：105，类型：随机，适应值：(10537.9283,)，车辆：18，距离：3188.964，满意度：81.0
迭代：106，类型：随机，适应值：(10447.2246,)，车辆：18，距离：3123.612，满意度：80.8
迭代：107，类型：随机，适应值：(10434.8695,)，车辆：18，距离：3117.435，满意度：80.8
迭代：108，类型：随机，适应值：(10434.8695,)，车辆：18，距离：3117.435，满意度：80.8
迭代：109，类型：随机，适应值：(10434.8695,)，车辆：18，距离：3117.435，满意度：80.8
迭代：110，类型：随机，适应值：(10434.8695,)，车辆：18，距离：3117.435，满意度：80.8
迭代：111，类型：随机，适应值：(10398.1312,)，车辆：18，距离：3099.066，满意度：80.8
迭代：112，类型：随机，适应值：(10398.1312,)，车辆：18，距离：3099.066，满意度：80.8
迭代：113，类型：随机，适应值：(10386.698,)，车辆：18，距离：3093.349，满意度：80.8
迭代：114，类型：随机，适应值：(10386.698,)，车辆：18，距离：3093.349，满意度：80.8
迭代：115，类型：随机，适应值：(10386.698,)，车辆：18，距离：3093.349，满意度：80.8
迭代：116，类型：随机，适应值：(10386.698,)，车辆：18，距离：3093.349，满意度：80.8
迭代：117，类型：随机，适应值：(10386.698,)，车辆：18，距离：3093.349，满意度：80.8
迭代：118，类型：随机，适应值：(10386.698,)，车辆：18，距离：3093.349，满意度：80.8
迭代：119，类型：随机，适应值：(10385.7052,)，车辆：18，距离：3092.853，满意度：80.8
迭代：120，类型：随机，适应值：(10385.7052,)，车辆：18，距离：3092.853，满意度：80.8
迭代：121，类型：随机，适应值：(10312.3564,)，车辆：17，距离：3066.178，满意度：80.8
迭代：122，类型：随机，适应值：(10312.3564,)，车辆：17，距离：3066.178，满意度：80.8
迭代：123，类型：随机，适应值：(10312.3564,)，车辆：17，距离：3066.178，满意度：80.8
迭代：124，类型：随机，适应值：(10275.6321,)，车辆：18，距离：3104.816，满意度：81.47
迭代：125，类型：随机，适应值：(10275.6321,)，车辆：18，距离：3104.816，满意度：81.47
迭代：126，类型：随机，适应值：(10275.6321,)，车辆：18，距离：3104.816，满意度：81.47
迭代：127，类型：随机，适应值：(10275.6321,)，车辆：18，距离：3104.816，满意度：81.47
迭代：128，类型：随机，适应值：(10160.7607,)，车辆：17，距离：2990.38，满意度：80.8
迭代：129，类型：随机，适应值：(10142.1112,)，车辆：17，距离：3048.056，满意度：81.47
迭代：130，类型：随机，适应值：(10142.1112,)，车辆：17，距离：3048.056，满意度：81.47
迭代：131，类型：随机，适应值：(10043.305,)，车辆：17，距离：2998.653，满意度：81.47
迭代：132，类型：随机，适应值：(10043.305,)，车辆：17，距离：2998.653，满意度：81.47
迭代：133，类型：随机，适应值：(10035.0051,)，车辆：17，距离：2994.503，满意度：81.47
迭代：134，类型：随机，适应值：(10035.0051,)，车辆：17，距离：2994.503，满意度：81.47
迭代：135，类型：随机，适应值：(9945.5632,)，车辆：17，距离：2949.782，满意度：81.47
迭代：136，类型：随机，适应值：(9945.5632,)，车辆：17，距离：2949.782，满意度：81.47
迭代：137，类型：随机，适应值：(9945.5632,)，车辆：17，距离：2949.782，满意度：81.47
迭代：138，类型：随机，适应值：(9945.5632,)，车辆：17，距离：2949.782，满意度：81.47
迭代：139，类型：随机，适应值：(9937.2632,)，车辆：17，距离：2945.632，满意度：81.47
迭代：140，类型：随机，适应值：(9937.2632,)，车辆：17，距离：2945.632，满意度：81.47
迭代：141，类型：随机，适应值：(9937.2632,)，车辆：17，距离：2945.632，满意度：81.47
迭代：142，类型：随机，适应值：(9937.2632,)，车辆：17，距离：2945.632，满意度：81.47
迭代：143，类型：随机，适应值：(9937.2632,)，车辆：17，距离：2945.632，满意度：81.47
迭代：144，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：145，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：146，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：147，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：148，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：149，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：150，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：151，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：152，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：153，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：154，类型：随机，适应值：(9932.3446,)，车辆：17，距离：2943.172，满意度：81.47
迭代：155，类型：随机，适应值：(9902.2924,)，车辆：17，距离：2928.146，满意度：81.47
迭代：156，类型：随机，适应值：(9902.2924,)，车辆：17，距离：2928.146，满意度：81.47
迭代：157，类型：随机，适应值：(9902.2924,)，车辆：17，距离：2928.146，满意度：81.47
迭代：158，类型：随机，适应值：(9902.2924,)，车辆：17，距离：2928.146，满意度：81.47
迭代：159，类型：随机，适应值：(9902.2924,)，车辆：17，距离：2928.146，满意度：81.47
迭代：160，类型：随机，适应值：(9902.2924,)，车辆：17，距离：2928.146，满意度：81.47
迭代：161，类型：随机，适应值：(9885.9977,)，车辆：17，距离：2932.999，满意度：81.6
迭代：162，类型：随机，适应值：(9885.9977,)，车辆：17，距离：2932.999，满意度：81.6
迭代：163，类型：随机，适应值：(9880.7611,)，车辆：17，距离：2910.381，满意度：81.4
迭代：164，类型：随机，适应值：(9880.7611,)，车辆：17，距离：2910.381，满意度：81.4
迭代：165，类型：随机，适应值：(9880.7611,)，车辆：17，距离：2910.381，满意度：81.4
迭代：166，类型：随机，适应值：(9873.4814,)，车辆：17，距离：2913.741，满意度：81.47
迭代：167，类型：随机，适应值：(9873.4814,)，车辆：17，距离：2913.741，满意度：81.47
迭代：168，类型：随机，适应值：(9873.4814,)，车辆：17，距离：2913.741，满意度：81.47
迭代：169，类型：随机，适应值：(9872.5538,)，车辆：17，距离：2906.277，满意度：81.4
迭代：170，类型：随机，适应值：(9863.8499,)，车辆：17，距离：2921.925，满意度：81.6
迭代：171，类型：随机，适应值：(9837.9396,)，车辆：17，距离：2955.97，满意度：82.07
迭代：172，类型：随机，适应值：(9837.9396,)，车辆：17，距离：2955.97，满意度：82.07
迭代：173，类型：随机，适应值：(9826.0627,)，车辆：17，距离：2950.031，满意度：82.07
迭代：174，类型：随机，适应值：(9826.0627,)，车辆：17，距离：2950.031，满意度：82.07
迭代：175，类型：随机，适应值：(9825.348,)，车辆：17，距离：2949.674，满意度：82.07
迭代：176，类型：随机，适应值：(9815.4662,)，车辆：17，距离：2944.733，满意度：82.07
迭代：177，类型：随机，适应值：(9803.9421,)，车辆：17，距离：2931.971，满意度：82.0
迭代：178，类型：随机，适应值：(9803.9421,)，车辆：17，距离：2931.971，满意度：82.0
迭代：179，类型：随机，适应值：(9803.9421,)，车辆：17，距离：2931.971，满意度：82.0
迭代：180，类型：随机，适应值：(9742.9379,)，车辆：17，距离：2908.469，满意度：82.07
迭代：181，类型：随机，适应值：(9742.9379,)，车辆：17，距离：2908.469，满意度：82.07
迭代：182，类型：随机，适应值：(9706.1042,)，车辆：17，距离：2950.052，满意度：82.67
迭代：183，类型：随机，适应值：(9696.5752,)，车辆：17，距离：2938.288，满意度：82.6
迭代：184，类型：随机，适应值：(9696.1686,)，车辆：17，距离：2938.084，满意度：82.6
迭代：185，类型：随机，适应值：(9694.5801,)，车辆：17，距离：2937.29，满意度：82.6
迭代：186，类型：随机，适应值：(9612.1699,)，车辆：17，距离：2896.085，满意度：82.6
迭代：187，类型：随机，适应值：(9612.1699,)，车辆：17，距离：2896.085，满意度：82.6
迭代：188，类型：随机，适应值：(9605.9721,)，车辆：17，距离：2899.986，满意度：82.67
