index,type,fitness,vehicle,distance,satisfaction
1,定向,10799.6587,12,1892.829,66.13
2,定向,10799.6587,12,1892.829,66.13
3,定向,10418.9671,12,2069.484,69.8
4,定向,10418.9671,12,2069.484,69.8
5,定向,10418.9671,12,2069.484,69.8
6,定向,10418.9671,12,2069.484,69.8
7,定向,9915.309,13,2020.655,71.93
8,定向,9736.7465,12,1941.373,71.93
9,定向,9736.7465,12,1941.373,71.93
10,定向,9659.4465,13,2006.723,73.07
11,定向,9659.4465,13,2006.723,73.07
12,定向,9199.9465,12,1846.973,73.67
13,定向,9199.9465,12,1846.973,73.67
14,定向,9199.9465,12,1846.973,73.67
15,定向,8946.2696,12,1906.135,75.53
16,定向,8946.2696,12,1906.135,75.53
17,定向,8946.2696,12,1906.135,75.53
18,定向,8838.8985,11,1636.449,73.27
19,定向,8827.2524,12,1720.626,74.27
20,定向,8731.1385,12,1712.569,74.67
21,定向,8712.3002,11,1619.15,73.73
22,定向,8671.5949,11,1652.797,74.27
23,定向,8671.5949,11,1652.797,74.27
24,定向,8671.5949,11,1652.797,74.27
25,定向,8659.4494,11,1686.725,74.67
26,定向,8439.5623,11,1676.781,75.67
27,定向,8406.2163,11,1626.108,75.33
28,定向,8406.2163,11,1626.108,75.33
29,定向,8406.2163,11,1626.108,75.33
30,定向,8406.2163,11,1626.108,75.33
31,定向,8406.2163,11,1626.108,75.33
32,定向,8406.2163,11,1626.108,75.33
33,定向,8406.2163,11,1626.108,75.33
34,定向,8406.2163,11,1626.108,75.33
35,定向,8406.2163,11,1626.108,75.33
36,定向,8406.2163,11,1626.108,75.33
37,定向,8406.2163,11,1626.108,75.33
38,定向,8406.2163,11,1626.108,75.33
39,定向,8406.2163,11,1626.108,75.33
40,定向,8406.2163,11,1626.108,75.33
41,定向,8406.2163,11,1626.108,75.33
42,定向,8406.2163,11,1626.108,75.33
43,定向,8406.2163,11,1626.108,75.33
44,定向,8402.978,11,1678.489,75.87
45,定向,8402.978,11,1678.489,75.87
46,定向,8394.288,11,1674.144,75.87
47,定向,8394.288,11,1674.144,75.87
48,定向,8394.288,11,1674.144,75.87
49,定向,8394.288,11,1674.144,75.87
50,定向,8344.9872,11,1662.494,76.0
51,定向,8148.009,11,1684.004,77.2
52,定向,8148.009,11,1684.004,77.2
53,定向,8141.4487,11,1660.724,77.0
54,定向,8141.4487,11,1660.724,77.0
55,定向,8116.8548,11,1635.427,76.87
56,定向,8116.8548,11,1635.427,76.87
57,定向,8116.8548,11,1635.427,76.87
58,定向,8095.3542,11,1644.677,77.07
59,定向,7967.6993,11,1660.85,77.87
60,定向,7967.6993,11,1660.85,77.87
61,定向,7967.6993,11,1660.85,77.87
62,定向,7967.6993,11,1660.85,77.87
63,定向,7967.6993,11,1660.85,77.87
64,定向,7967.6993,11,1660.85,77.87
65,定向,7967.6993,11,1660.85,77.87
66,定向,7967.6993,11,1660.85,77.87
67,定向,7892.8189,11,1716.409,78.8
68,定向,7892.8189,11,1716.409,78.8
69,定向,7892.8189,11,1716.409,78.8
70,定向,7892.8189,11,1716.409,78.8
71,定向,7892.8189,11,1716.409,78.8
72,定向,7892.8189,11,1716.409,78.8
73,定向,7892.8189,11,1716.409,78.8
74,定向,7892.8189,11,1716.409,78.8
75,定向,7892.8189,11,1716.409,78.8
76,定向,7892.8189,11,1716.409,78.8
77,定向,7892.8189,11,1716.409,78.8
78,定向,7892.8189,11,1716.409,78.8
79,定向,7892.8189,11,1716.409,78.8
80,定向,7892.8189,11,1716.409,78.8
81,定向,7817.4184,11,1645.709,78.47
82,定向,7817.4184,11,1645.709,78.47
83,定向,7817.4184,11,1645.709,78.47
84,定向,7817.4184,11,1645.709,78.47
85,定向,7817.4184,11,1645.709,78.47
86,定向,7817.4184,11,1645.709,78.47
87,定向,7817.4184,11,1645.709,78.47
88,定向,7817.4184,11,1645.709,78.47
89,定向,7817.4184,11,1645.709,78.47
90,定向,7817.4184,11,1645.709,78.47
91,定向,7817.4184,11,1645.709,78.47
92,定向,7817.4184,11,1645.709,78.47
93,定向,7817.4184,11,1645.709,78.47
94,定向,7817.4184,11,1645.709,78.47
95,定向,7817.4184,11,1645.709,78.47
96,定向,7817.4184,11,1645.709,78.47
97,定向,7817.4184,11,1645.709,78.47
98,定向,7817.4184,11,1645.709,78.47
99,定向,7817.4184,11,1645.709,78.47
100,定向,7817.4184,11,1645.709,78.47
101,定向,7817.4184,11,1645.709,78.47
102,定向,7817.4184,11,1645.709,78.47
103,定向,7817.4184,11,1645.709,78.47
104,定向,7817.4184,11,1645.709,78.47
105,定向,7817.4184,11,1645.709,78.47
106,定向,7817.4184,11,1645.709,78.47
107,定向,7817.4184,11,1645.709,78.47
108,定向,7817.4184,11,1645.709,78.47
109,定向,7817.4184,11,1645.709,78.47
110,定向,7817.4184,11,1645.709,78.47
111,定向,7817.4184,11,1645.709,78.47
112,定向,7817.4184,11,1645.709,78.47
113,定向,7817.4184,11,1645.709,78.47
114,定向,7817.4184,11,1645.709,78.47
115,定向,7817.4184,11,1645.709,78.47
116,定向,7435.0995,11,1607.55,80.0
117,定向,7432.8999,11,1593.45,79.87
118,定向,7432.8999,11,1593.45,79.87
119,定向,7432.8999,11,1593.45,79.87
